2022-01-06 13:41:28,49,22.40,49.74,493
2022-01-06 13:41:32,993,21.92,46.39,502
2022-01-06 13:41:36,998,21.79,44.05,502
2022-01-06 13:41:40,998,21.65,41.93,502
2022-01-06 13:41:44,998,21.43,40.07,502
2022-01-06 13:41:48,997,21.02,38.47,502
2022-01-06 13:41:52,997,20.56,37.32,502
2022-01-06 13:41:56,997,20.28,36.44,502
2022-01-06 13:42:00,994,20.07,35.92,502
2022-01-06 13:42:04,997,19.95,35.65,502
2022-01-06 13:42:08,996,19.62,35.29,502
2022-01-06 13:42:12,996,19.45,34.94,502
2022-01-06 13:42:16,996,19.31,34.56,502
2022-01-06 13:42:20,996,19.25,34.29,502
2022-01-06 13:42:24,997,19.10,34.04,502
2022-01-06 13:42:28,998,19.02,33.81,502
2022-01-06 13:42:32,999,18.97,33.65,493
2022-01-06 13:42:37,1000,18.87,33.45,488
2022-01-06 13:42:41,1000,18.78,33.25,483
2022-01-06 13:42:45,999,18.55,33.05,478
2022-01-06 13:42:49,997,18.36,32.92,463
2022-01-06 13:42:53,997,18.15,32.82,458
2022-01-06 13:42:57,997,18.10,32.78,453
2022-01-06 13:43:01,997,17.93,32.77,448
2022-01-06 13:43:05,997,17.69,32.75,438
2022-01-06 13:43:09,997,17.53,32.81,433
2022-01-06 13:43:13,998,17.33,32.85,428
2022-01-06 13:43:17,1000,17.25,32.94,423
2022-01-06 13:43:21,1001,17.07,33.02,423
2022-01-06 13:43:25,1001,16.94,33.13,418
2022-01-06 13:43:29,999,16.82,33.25,413
2022-01-06 13:43:33,997,16.59,33.34,413
2022-01-06 13:43:37,997,16.35,33.45,408
2022-01-06 13:43:41,997,16.12,33.55,408
2022-01-06 13:43:45,997,15.95,33.70,408
2022-01-06 13:43:49,997,15.91,33.91,408
2022-01-06 13:43:53,997,15.84,34.12,408
2022-01-06 13:43:57,997,15.82,34.33,408
2022-01-06 13:44:01,997,15.70,34.53,408
2022-01-06 13:44:05,997,15.49,34.69,408
2022-01-06 13:44:09,997,15.30,34.84,403
2022-01-06 13:44:13,997,15.16,35.03,403
2022-01-06 13:44:17,997,15.09,35.26,408
2022-01-06 13:44:21,998,15.08,35.48,403
2022-01-06 13:44:25,999,15.04,35.68,408
2022-01-06 13:44:29,1002,15.08,35.91,403
2022-01-06 13:44:33,1003,15.18,36.10,403
2022-01-06 13:44:37,1004,15.29,36.32,403
2022-01-06 13:44:41,1004,15.34,36.45,403
